"","start_station_name","member_casual","num_of_rides"
"537","MLK Jr Dr & 56th St","casual",274
"538","Lincoln Ave & Roscoe St*","casual",266
"539","N Carpenter St & W Lake St","casual",263
"540","Jeffery Blvd & 71st St","casual",262
"541","Central Ave & Lake St","casual",259
"542","Kedzie Ave & 21st St","casual",255
"543","Lamon Ave & Armitage Ave","casual",255
"544","Kedzie Ave & 48th Pl","casual",253
"545","Princeton Ave & Garfield Blvd","casual",253
"546","Damen Ave & Pershing Rd","casual",247
"547","Kilbourn Ave & Irving Park Rd","casual",240
"548","California Ave & 23rd Pl","casual",238
"549","Prospect Sq & 91st St","casual",237
"550","Kostner Ave & Wrightwood Ave","casual",236
"551","Cottage Grove Ave & 67th St","casual",235
"552","Phillips Ave & 79th St","casual",235
"553","Stony Island Ave & 75th St","casual",234
"554","Chicago State University","casual",232
"555","State St & 123rd St","casual",232
"556","Dodge Ave & Main St","casual",231
"557","Lincolnwood Dr & Central St","casual",227
"558","Base - 2132 W Hubbard Warehouse","casual",221
"559","Western Ave & 104th St","casual",217
"560","Dauphin Ave & 87th St","casual",216
"561","Rainbow Beach","casual",216
"562","Hoyne Ave & 47th St","casual",215
"563","Austin Blvd & Madison St","casual",213
"564","Eggleston Ave & 92nd St","casual",212
"565","Hale Ave & 107th St","casual",212
"566","Cicero Ave & Lake St","casual",210
"567","Union Ave & Root St","casual",207
"568","Harlem & Irving Park","casual",199
"569","Greenwood Ave & 97th St","casual",198
"570","Kilbourn Ave & Milwaukee Ave","casual",196
"571","Loomis St & 89th St","casual",194
"572","Lamon Ave & Belmont Ave","casual",190
"573","Lawndale Ave & 111th St","casual",189
"574","Kilpatrick Ave & Parker Ave","casual",187
"575","Stewart Ave & 83rd St","casual",183
"576","Lockwood Ave & Wrightwood Ave","casual",177
"577","Yates Blvd & 75th St","casual",177
"578","Big Marsh Park","casual",176
"579","Halsted & 63rd - Kennedy-King Vaccination Site","casual",176
"580","Perry Ave & 69th St","casual",175
"581","Pulaski Rd & Lake St","casual",175
"582","Stony Island Ave & 90th St","casual",175
"583","Cottage Grove Ave & 83rd St","casual",174
"584","Major Taylor Trail & 115th St","casual",174
"585","Pulaski Rd & 51st St","casual",173
"586","Austin Blvd & Chicago Ave","casual",172
"587","Burnham Greenway & 105th St","casual",172
"588","Rockwell St & Fletcher St","casual",171
"589","Homewood Ave & 115th St","casual",169
"590","Mulligan Ave & Wellington Ave","casual",169
"591","Cottage Grove Ave & 71st St","casual",167
"592","Kedzie Ave & Harrison St","casual",166
"593","Albany Ave & 26th St","casual",165
"594","Central Ave & Harrison St","casual",165
"595","Ashland Ave & McDowell Ave","casual",164
"596","Pulaski Rd & Congress Pkwy","casual",164
"597","W 103rd St & S Avers Ave","casual",164
"598","Kilbourn & Roscoe","casual",163
"599","Ashland Ave & Pershing Rd","casual",162
"600","Long Ave & Belmont Ave","casual",162
"601","Elizabeth St & 92nd St","casual",161
"602","State St & 54th St","casual",161
"603","Vernon Ave & 79th St","casual",161
"604","Central Ave & Chicago Ave","casual",160
"605","Laramie Ave & Kinzie St","casual",159
"606","Ashland Ave & 63rd St","casual",158
"607","Kilbourn & Belden","casual",158
"608","Lavergne & Fullerton","casual",157
"609","Loomis Blvd & 84th St","casual",157
